Persona;AnoNac;Actividad;Medio
10002003;1977;1;11
10007001;1959;1;11
10017002;1956;1;7
10026201;1941;3;1
10027001;1956;4;2
10027002;1982;4;1
10030201;1965;1;11
10032201;1947;1;7
10032202;1945;1;7
10035001;1983;1;7
10041302;1987;1;7
10046103;1974;1;4
10047201;1968;1;7
10049002;1931;3;11
10051005;1984;1;11
10054101;1958;1;11
10059202;2001;2;9
10060101;1981;1;2
10060103;2006;2;2
10060104;2010;2;2
10061101;1974;1;7
10062005;1999;2;2
10065101;1935;3;5
10068102;1960;1;7
10069201;1949;3;7
10069202;1945;3;7
10073201;1974;1;2
10073203;1995;2;2
10073204;2004;2;2
10076002;1974;4;2
10080201;1964;1;7
10080202;1991;2;7
10080203;1988;1;7
10081001;1943;1;11
10082202;2006;2;11
10083202;1967;1;9
10083203;1991;1;7
10086201;1965;1;4
10086203;1997;2;7
10089001;1970;2;1
10089002;1978;1;2
10089005;2010;1;4
10091203;1982;1;1
10091204;1987;1;1
10091205;1992;6;1
10103004;1965;1;7
10109101;1975;1;2
10114201;1968;1;2
10117101;1960;1;7
10117102;1963;1;7
10121001;1972;1;2
10121005;1993;1;7
10122001;1959;1;11
10122003;1998;2;4
10124102;1989;1;7
10125001;1961;1;2
10125002;1965;4;2
10125004;1987;1;2
10126202;1984;4;7
10126203;2011;1;11
10131001;1947;3;7
10132001;1946;1;1
10132003;1997;2;2
10134002;1965;1;2
10135101;1963;1;7
10135102;1991;1;7
10135103;1964;4;7
10135104;1992;1;7
10136001;1964;1;2
10136003;1998;2;11
10138201;1945;1;1
10138204;1981;2;2
10141201;1957;5;1
10145002;1940;4;2
10147104;1986;1;1
10150202;1976;1;11
10150203;1994;2;11
10151201;1966;1;7
10151202;1976;4;7
10159001;1961;4;1
10160203;2002;2;11
10161001;1975;1;7
10162104;1995;1;7
10164001;1984;1;11
10164002;1984;1;11
10164003;2005;2;11
10165001;1950;1;7
10168001;1980;1;2
10169002;1943;4;7
10170102;1970;1;2
10170104;2000;2;11
10172102;1942;1;7
10173001;1957;1;7
10173002;1959;1;2
10173003;1993;2;2
10173004;1994;2;2
10174101;1960;4;7
10174102;1959;1;7
10174104;1999;2;2
10175101;1953;1;7
10175102;1941;3;2
10176101;1985;4;10
10176103;1985;1;7
10176105;2002;2;11
10178101;1937;4;2
10182103;1966;1;7
10193002;1993;1;2
10198001;1938;3;4
10198002;1948;4;4
10201102;1970;1;7
10204101;1950;1;2
10206103;2006;2;11
10208101;1968;1;7
10208104;1997;2;2
10208105;2001;2;2
10214001;1967;1;7
10221003;1986;1;2
10222105;1980;1;7
10226103;2005;2;11
10230101;1970;1;2
10231101;1969;1;2
10232002;1983;1;2
