Hogar;Persona;AnoNac;Sexo;Relacion;Viajes;LicenciaConducir;PaseEscolar;AdultoMayor;Estudios;Curso;Actividad;Ocupacion;1ctividad5mpresa;JornadaTrabajo;4onde5studia;4ir1ctividad3oordX;4ir1ctividad3oordY;4ir5studios3oordX;4ir5studios3oordY;NoViaja;Tarjeta2ip;Tarjeta22ip;Medio;3onoceTransantiago;NoUsaTransantiago;4iscapacidad;TieneIngresos;Ingreso;TramoIngreso;Ingreso6inal;TramoIngreso6inal;IngresoImputado;6actor_LaboralNormal;6actor_SabadoNormal;6actor_4omingoNormal;6actor_Laboral5stival;6actor_6indesemana5stival;6actor
109041;10904102;1984;1;3;2;3;2;2;5;4;1;5;2;1;2;343623,3494;6306748,543;2;2;2;3;2;2;1;3;J;1;3;3;633797;3;2;2;108;2;2;2;126,35017
109071;10907102;1960;1;1;2;1;2;2;4;6;1;2;5;1;2;0;0;2;2;2;3;2;2;1;1;J;1;3;2;384869;2;2;33,59955;2;2;2;2;17,71747
109111;10911102;1978;1;1;4;3;2;2;7;4;1;5;5;1;2;325205,3377;6315467,326;2;2;2;3;2;4;1;2;J;1;3;3;490728;3;2;785,1191;2;2;2;2;439,71997
109151;10915101;1970;1;1;2;3;2;2;5;4;1;5;5;1;2;339221,7106;6308552,551;2;2;2;3;2;2;1;5;J;1;3;3;791704;3;2;2;2;2;2;1059;4,23191
109151;10915102;1980;2;2;2;1;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;2;0;0;0;0;0;2;2;2;2;1059;3,97404
109151;10915103;2000;2;3;2;1;1;2;4;6;2;2;2;2;4;2;2;324730,3617;6315293,16;2;3;2;3;1;5;J;2;0;0;0;0;0;2;2;2;2;1059;5,00324
109151;10915104;2003;2;3;2;1;2;2;4;3;2;2;2;2;4;2;2;324730,3617;6315293,16;2;2;2;2;2;5;J;2;0;0;0;0;0;2;2;2;2;1059;5,00324
109181;10918101;1951;2;1;2;3;2;2;7;4;3;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;1;3;2;366033;2;2;2;2;2;2;2452;163,64714
109191;10919101;1974;1;1;2;3;2;2;5;4;1;5;5;1;2;347201,0111;6302443,76;2;2;2;3;2;2;1;5;J;1;3;3;520514;3;2;2;2;2;2;848;72,48962
109191;10919102;1980;2;2;2;3;2;2;5;4;1;5;5;1;2;349362,4574;6299991,786;2;2;2;3;2;2;1;5;J;1;3;3;519842;3;2;2;2;2;2;848;56,59679
