Persona;AnoNac;Actividad;Medio
10904102;1984;1;2
10907102;1960;1;2
10911102;1978;1;4
10915101;1970;1;2
10915102;1980;4;2
10915103;2000;2;3
10915104;2003;2;2
10918101;1951;3;2
10919101;1974;1;2
10919102;1980;1;2
10920101;1953;6;2
10921102;1973;1;7
10921104;1994;1;2
10922101;1993;1;2
10924102;2006;2;4
10929101;1953;1;2
10934101;1960;1;4
10934102;1973;1;4
10937101;1946;1;4
10937102;1950;1;2
10939103;1971;1;2
10948102;1954;1;2
10951103;1985;1;3
10952101;1943;3;7
10954101;1992;2;7
10954104;1964;1;3
10960101;1972;1;2
10961103;1985;1;3
10962104;1962;1;2
10963101;1967;1;2
10967101;1974;1;2
10967102;1970;1;2
10967103;1966;1;3
10967106;2007;2;2
10968101;1957;1;2
10968102;1962;1;4
10968104;1991;1;4
10970103;1958;1;7
10974102;1970;1;2
10975102;1976;1;3
10976101;1958;1;2
10977102;1980;1;2
10979102;1952;1;2
10980101;1988;1;3
10982102;1984;1;4
11008102;1974;1;2
11010101;1977;1;2
11022102;1949;1;2
11024101;1981;1;2
11036102;1972;1;4
11045101;1970;1;2
11058104;1962;1;4
11068101;1979;1;2
11069101;1956;3;2
11078102;1950;1;2
11088101;1982;1;3
11088102;1982;1;3
11088103;2009;2;10
11089105;1986;1;3
11091101;1965;4;3
11116102;1977;1;3
11117101;1980;1;2
11117102;1983;1;2
11121101;1960;1;4
11131101;1945;3;10
11134104;1995;2;7
11134105;2002;2;2
11134106;2008;2;2
11136101;1987;4;2
11136103;2008;2;2
11144102;1972;4;2
11152101;1972;1;2
11153103;1967;1;3
11153104;1982;1;2
11162102;1977;1;2
11165103;1987;1;2
11169203;1954;1;2
11172102;1963;4;2
11180102;1940;3;2
11199103;1980;1;2
11199104;1976;1;3
11200103;1950;3;2
11207101;1938;3;4
11209104;1952;6;3
11210002;1966;1;2
11210003;1993;2;3
11213103;1984;1;2
11213104;1990;2;3
11214102;1984;1;2
11218101;1961;1;2
11218102;1969;1;2
11241002;1942;3;2
11247101;1950;3;2
11252101;1951;1;2
11258102;1974;1;2
11279101;1974;1;3
11279102;1993;1;2
11279103;1972;1;2
11282102;1973;1;4
11287101;1961;4;2
11287102;1983;4;2
11287103;1960;1;3
11294101;1984;1;2
11295105;1977;1;2
11309101;1983;1;3
11313101;1963;1;2
11316101;1934;3;7
11316102;1958;7;7
11330102;1952;1;2
11333102;1982;1;3
11333103;2002;2;2
11336102;1963;1;3
11340101;1980;1;2
11341101;1956;1;2
11342101;1982;1;3
11348101;1975;4;4
11348102;1972;1;2
11350103;1960;1;2
11355002;1963;1;2
11380102;1977;1;2
11382102;1977;1;2
11385105;1962;1;2
11386102;1984;1;2
11389102;1946;1;2
11397102;1992;1;10
11403101;1981;1;4
11403103;2009;2;4
11407001;1974;1;10
11409102;1979;1;2
11413105;1985;4;10
11416301;1988;1;4
11417001;1959;1;4
11426301;1989;1;4
11426302;1959;1;4
11427303;1988;1;2
11430201;1962;1;10
11430203;1987;6;2
11431303;1986;1;4
11437301;1972;1;4
11437303;1995;2;3
11438001;1980;6;2
11438002;1979;1;2
11438003;2011;2;10
11438004;2011;2;2
11438005;2013;2;10
11450301;1960;1;2
11457103;1987;1;2
11462104;1964;1;10
11464301;1946;3;10
11470202;1956;1;4
11470301;1967;4;4
11470302;1970;1;7
11472301;1956;1;4
11479104;1938;1;2
11482304;1979;1;7
11488301;1970;1;7
11499302;1949;4;10
11500103;1970;1;3
11501201;1965;1;4
11502202;1967;1;2
11504002;1989;1;2
11519101;1952;4;10
11524301;1963;1;10
11525304;1985;1;4
11526103;1970;1;2
11528001;1949;1;4
11531303;1979;1;2
11542103;1984;1;2
11542104;1982;1;2
11542105;2009;2;2
11544002;1952;1;4
11544003;1972;1;10
11546103;1989;4;2
11547101;1986;1;2
11550201;1948;1;2
11551001;1953;1;10
11562301;1939;3;10
11562302;1944;4;10
11564001;1952;1;2
11564002;1948;1;2
11569103;1999;2;2
11571001;1959;1;2
11571002;1962;4;10
11571003;1979;2;2
11571004;1994;6;4
11571005;2000;2;6
11575302;1967;1;2
11577004;1989;1;4
11579301;1976;1;4
11580301;1984;1;7
11580302;1984;2;2
11580304;2010;2;10
11586003;1993;1;11
11592101;1978;1;11
11594301;1945;1;10
11594302;1960;1;2
11594303;1982;1;10
11594304;1983;1;2
11595101;1949;7;11
11595102;1939;4;2
11601001;1968;4;4
11601002;1960;1;2
11601003;1994;2;2
11607302;1967;1;2
11607303;1958;1;2
11607304;2001;2;2
11608004;2005;2;2
11608005;2008;2;2
11609002;1978;1;5
11609003;2010;2;5
11610304;1986;4;2
11610305;1989;1;3
11613103;1984;1;2
11616202;1965;1;4
11621003;1968;1;4
11625301;1973;1;7
11628301;1970;1;4
11628302;1974;1;10
11640201;1964;1;4
11642102;1980;1;4
11642103;2002;2;9
11643001;1950;3;2
11643002;1935;3;2
11643004;1985;7;2
11643005;2006;2;2
11648304;1992;1;4
11657001;1983;1;3
11657002;1985;4;3
11657003;2007;2;10
11657004;2009;7;10
11658101;1976;1;4
11660302;1988;1;4
11661101;1973;1;7
11661102;1965;1;2
11661103;1991;2;7
11662302;1991;4;2
11667009;1991;2;2
11676103;1987;1;2
11684003;1989;2;2
11684005;2011;2;10
11686001;1967;1;10
11695201;1975;1;3
11695202;1976;1;4
11695204;2004;2;4
11695205;2005;2;4
11697001;1948;1;4
11701001;1978;1;2
11702301;1962;1;4
11702302;1957;1;4
11703301;1966;1;9
11703302;1964;1;2
11705301;1964;1;2
11706003;1964;1;2
11707301;1960;1;4
11707302;1964;1;4
11707303;2010;2;10
11709002;1953;1;2
11709003;1987;1;2
11712001;1944;1;2
11712002;1953;1;2
11713101;1948;1;2
11720103;1959;1;7
11723201;1951;1;2
11724301;1968;1;2
11731101;1966;1;2
11731102;1968;1;2
11731105;1944;1;4
11733003;1974;1;2
11736202;1961;1;4
11741105;1982;1;2
11744101;1969;1;4
11744102;1961;4;4
11744105;1994;2;10
11747202;1966;7;2
11756301;1977;1;7
11757301;1980;1;10
11759003;1962;1;10
11761301;1963;1;10
11763101;1954;1;2
11763102;1994;2;2
11768301;1979;1;4
11774102;1982;1;6
11780301;1949;3;2
11787102;1976;1;2
11788102;1950;1;2
11790101;1956;1;10
11790102;1959;1;7
11796001;1960;1;10
11799001;1969;1;2
11801101;1979;1;2
11801102;1979;4;4
11801103;1999;2;10
11801104;2003;3;10
11801105;2012;2;10
11810202;1979;1;10
11829101;1967;1;2
11829102;1949;1;2
11830302;1974;1;11
11830304;2001;2;11
11830305;2004;2;11
11830306;2004;2;11
11830307;1998;2;2
11835102;1977;1;4
11840104;1966;1;11
11842003;1966;1;2
11843101;1968;1;2
11843102;1966;1;2
11848202;1963;7;10
11860102;1968;1;11
11861102;1981;1;11
11878102;1991;1;2
11883001;1952;6;2
11892101;1959;4;11
11896102;1982;1;2
11904001;1964;1;11
11906301;1980;4;11
11906303;1999;2;11
11906304;1999;2;11
11906305;1976;1;11
11907004;1982;1;2
11907102;1978;1;2
11908101;1992;1;2
11918102;1987;1;2
11931001;1970;4;2
11931002;1986;1;2
11932102;1993;1;10
11936102;1978;1;2
11937102;2009;2;11
11937104;1982;1;11
11939301;1962;1;11
11939303;2005;2;11
11940101;1989;2;2
11940102;1986;1;2
11940103;2008;2;2
11940104;2011;2;2
11941301;1978;3;9
11941302;1959;4;9
11946001;1952;1;10
11946004;1979;3;2
11958103;1988;1;2
